Mes-Ano," Línea de Pobreza Extrema Rural por Ingresos
(Canasta alimentaria) "," Línea de Pobreza Extrema Urbana por Ingresos
(Canasta alimentaria) ","Línea de Pobreza Rural por Ingresos
(Canasta alimentaria más no alimentaria)","Línea de Pobreza Urbana por Ingresos
(Canasta alimentaria más no alimentaria)"
mar-10,$799.00,"$1,045.66","$1,631.88","$2,448.35"
abr-10,$790.44,"$1,037.07","$1,621.10","$2,434.90"
may-10,$767.41,"$1,014.52","$1,589.68","$2,396.59"
jun-10,$751.95,"$1,000.59","$1,575.64","$2,384.81"
jul-10,$752.65,"$1,003.02","$1,577.65","$2,389.17"
ago-10,$756.65,"$1,007.41","$1,585.50","$2,399.34"
sep-10,$763.82,"$1,014.92","$1,597.97","$2,416.48"
oct-10,$773.16,"$1,024.72","$1,615.38","$2,435.91"
nov-10,$779.03,"$1,031.77","$1,632.18","$2,461.36"
dic-10,$786.78,"$1,041.93","$1,641.39","$2,470.67"
ene-11,$790.74,"$1,048.97","$1,650.18","$2,485.11"
feb-11,$794.45,"$1,052.57","$1,657.32","$2,499.15"
mar-11,$788.74,"$1,045.67","$1,653.53","$2,488.80"
abr-11,$809.77,"$1,064.98","$1,667.54","$2,473.99"
may-11,$791.06,"$1,048.38","$1,639.17","$2,440.97"
jun-11,$778.17,"$1,035.86","$1,628.81","$2,431.63"
jul-11,$789.17,"$1,046.28","$1,640.71","$2,444.07"
ago-11,$793.01,"$1,050.27","$1,646.62","$2,450.70"
sep-11,$800.44,"$1,058.05","$1,658.14","$2,464.08"
oct-11,$806.11,"$1,063.75","$1,672.60","$2,483.47"
nov-11,$813.56,"$1,072.69","$1,695.04","$2,521.38"
dic-11,$832.29,"$1,092.94","$1,718.87","$2,545.56"
ene-12,$847.08,"$1,108.57","$1,738.39","$2,568.48"
feb-12,$841.13,"$1,104.14","$1,736.47","$2,570.14"
mar-12,$842.59,"$1,106.36","$1,739.50","$2,568.83"
abr-12,$840.52,"$1,105.62","$1,731.70","$2,552.48"
may-12,$843.85,"$1,108.82","$1,724.78","$2,540.76"
jun-12,$858.86,"$1,124.79","$1,742.09","$2,551.51"
jul-12,$875.65,"$1,142.51","$1,761.70","$2,572.80"
ago-12,$878.71,"$1,147.23","$1,769.48","$2,583.37"
sep-12,$898.38,"$1,166.96","$1,791.95","$2,604.38"
oct-12,$900.75,"$1,170.35","$1,801.26","$2,613.42"
nov-12,$898.09,"$1,170.22","$1,813.28","$2,611.64"
dic-12,$904.19,"$1,178.00","$1,821.76","$2,599.27"
ene-13,$904.49,"$1,180.95","$1,826.46","$2,628.02"
feb-13,$902.56,"$1,180.28","$1,829.63","$2,667.11"
mar-13,$917.69,"$1,195.82","$1,847.63","$2,692.05"
abr-13,$920.23,"$1,199.07","$1,847.98","$2,687.88"
may-13,$921.94,"$1,200.32","$1,839.83","$2,672.36"
jun-13,$914.54,"$1,194.35","$1,835.72","$2,669.33"
jul-13,$906.55,"$1,189.26","$1,828.73","$2,662.21"
ago-13,$914.24,"$1,198.01","$1,839.99","$2,672.76"
sep-13,$919.88,"$1,204.44","$1,851.27","$2,687.40"
oct-13,$918.49,"$1,204.48","$1,859.45","$2,707.19"
nov-13,$935.38,"$1,221.62","$1,890.61","$2,751.51"
dic-13,$948.40,"$1,235.26","$1,909.01","$2,771.79"
ene-14,$951.39,"$1,247.46","$1,921.88","$2,803.60"
feb-14,$951.19,"$1,251.39","$1,923.51","$2,813.77"
mar-14,$955.56,"$1,258.82","$1,929.72","$2,824.51"
abr-14,$941.84,"$1,244.62","$1,908.33","$2,793.93"
may-14,$938.91,"$1,242.12","$1,892.98","$2,765.97"
jun-14,$939.06,"$1,244.85","$1,894.90","$2,771.99"
jul-14,$944.88,"$1,253.48","$1,901.79","$2,782.92"
ago-14,$952.67,"$1,264.16","$1,913.79","$2,798.07"
sep-14,$964.89,"$1,277.27","$1,930.22","$2,814.44"
oct-14,$970.49,"$1,284.20","$1,946.58","$2,836.26"
nov-14,$978.65,"$1,291.90","$1,970.02","$2,868.08"
dic-14,$997.22,"$1,309.36","$1,989.20","$2,878.88"
ene-15,$982.68,"$1,297.30","$1,974.98","$2,867.52"
feb-15,$973.48,"$1,289.21","$1,969.96","$2,869.39"
mar-15,$988.35,"$1,301.90","$1,989.32","$2,890.27"
abr-15,$992.21,"$1,304.97","$1,984.45","$2,877.17"
may-15,$981.99,"$1,296.88","$1,961.65","$2,847.62"
jun-15,$982.48,"$1,299.41","$1,963.00","$2,850.80"
jul-15,$987.67,"$1,306.33","$1,968.34","$2,856.62"
